"","SYMBOL","SECTOR","AVG.RTRN","AVG.GAIN","AVG.LOSS","MAX.GAIN","MAX.LOSS","PCT.POS","PCT.NEG"
"202","OLLI","Consumer Services",0.17,4.13,-3.78333333333333,9.24,-11.64,50,50
"203","ON","Technology",1.7,4.43888888888889,-4.465,8.68,-9.63,69.2307692307692,30.7692307692308
"204","ORLY","Consumer Services",0.95,4.78142857142857,-3.51,13.65,-6.93,53.8461538461538,46.1538461538462
"205","OTEX","Technology",0.34,5.466,-2.86875,10.42,-6.46,38.4615384615385,61.5384615384615
"206","PAYX","Consumer Services",-0.91,3.58666666666667,-2.41111111111111,5.86,-3.83,25,75
"207","PBCT","Finance",0.19,2.56142857142857,-2.58333333333333,6.84,-4.37,53.8461538461538,46.1538461538462
"208","PCAR","Capital Goods",-0.48,2.25166666666667,-2.82,3.24,-5.14,46.1538461538462,53.8461538461538
"209","PEGA","Technology",2.43,8.65125,-7.526,19.63,-15.36,61.5384615384615,38.4615384615385
"210","PEP","Consumer Non-Durables",-0.12,1.31285714285714,-1.79833333333333,2.52,-2.27,53.8461538461538,46.1538461538462
"211","PFG","Finance",-1.97,1.47,-3.50333333333333,3.44,-9.02,30.7692307692308,69.2307692307692
"212","PFPT","Technology",1,5.42,-6.082,10.81,-22.76,61.5384615384615,38.4615384615385
"213","PODD","Health Care",5.04,5.77454545454545,-2.98,16.83,-2.98,91.6666666666667,8.33333333333334
"214","POOL","Consumer Durables",0.11,2.57285714285714,-2.755,6.59,-6.93,53.8461538461538,46.1538461538462
"215","PRAH","Health Care",1.93,4.15111111111111,-4.73333333333333,14.36,-7.87,75,25
"216","PTC","Technology",0.39,4.365,-5.97,11.95,-13.33,61.5384615384615,38.4615384615385
"217","PYPL","Miscellaneous",0.98,4.88,-3.57833333333333,6.8,-5.43,53.8461538461538,46.1538461538462
"218","QCOM","Technology",-0.09,3.21333333333333,-2.92142857142857,7.3,-8.45,46.1538461538462,53.8461538461538
"219","QGEN","Health Care",2.21,4.98375,-3.345,10.3,-5.37,66.6666666666667,33.3333333333333
"220","QRVO","Technology",-1.16,10.395,-6.30111111111111,17.55,-13.22,30.7692307692308,69.2307692307692
"221","REG","Consumer Services",0.27,1.91,-1.635,2.83,-2.87,53.8461538461538,46.1538461538462
"222","REGN","Health Care",0.32,2.10111111111111,-3.6725,5.8,-6.23,69.2307692307692,30.7692307692308
"223","RGLD","Basic Industries",0.29,1.39,-1.464,2.17,-3.09,61.5384615384615,38.4615384615385
"224","ROKU","Consumer Services",3.81,13.0475,-14.675,28.64,-19.94,66.6666666666667,33.3333333333333
